Denali Weightlifting Last Chance Qualifier,US,4974.csv
Development Meet,US,340.csv
HDAC Spring Break Invite,US,1818.csv
Olympia Fall Open WLC,US,354.csv
Koda June Invitational,US,4960.csv
Solcana Beginner Olympic Weightlifting Meet,US,3969.csv
Spring 2015n Ironcat Open at Texas State University,US,432.csv
Rubber City Spring Open,US,3799.csv
Last Chance World Masters,US,2487.csv
Texas State Collegiate Open,US,1830.csv
In House Masters Pan Ams Qualifier,US,4948.csv
2021 Texas Barbell Spring Showdown,US,4790.csv
2021 National Garage Championships presented by Caffeine & Kilos,US,4784.csv
2016 Northeastern States Open Championships,US,1824.csv
U of O Weightlifting Classic,US,368.csv
Missouri State & Open Championships,US,3955.csv
Barbell Madness III,US,2493.csv
2022 ALEE Spring Open,US,5317.csv
Last Chance State Qualifier - MN,US,2478.csv
Barbell Collective Weightlifting Series 1 / Last Day to qualify for Nationals,US,3766.csv
Brooklyn Barbell Closed Meet (APRIL-2019),US,4009.csv
AlaskaFit Presents the Risto Sports Olympia Cup,US,1171.csv
IWF World Championships Training Camp,US,1617.csv
The Butch Curry Classic,US,383.csv
2018 Liberty Barbell Classic,US,3000.csv
Rage-narok Weightlifting Meet,US,3014.csv
Dan Takeuchi Weightlifting Memorial Meet,US,397.csv
BrewCity Open-Hosted bty Milwaukee Barbell,US,1603.csv
BGBB Last Chance Qualifier,US,1165.csv
Iron Kitchen Qualifier,US,5303.csv
The Winter Wowser,US,3772.csv
2019 CHICAGO OPEN,US,3982.csv
7th Annual Ginny Robinson Memorial Breast Cancer Awareness Weightlifting Competition,US,2444.csv
2019 Weightlifting Wise Championships (TSCQE),US,4035.csv
Forza Winter Home Meet,US,4753.csv
Last Chance Qualifier!,US,2322.csv
Tampa Bay Practice Classic 4,US,4747.csv
Crow Hill Open 2018,US,3028.csv
SolaFide Barbell Winter Open,US,2336.csv
Come Lift at Our HoWse,US,3996.csv
Reno Qualifier,US,2450.csv
Winter Is Coming Weightlifting Classic,US,4021.csv
2013 Idaho State Championships,US,1159.csv
Risto Olympia Cup Series- Event 1,US,2337.csv
BROOKLYN BARBELL OPEN,US,3029.csv
AO1 Qualifier,US,4746.csv
Gem State Open,US,1158.csv
Team Chikara Developmental Meet #52,US,4020.csv
Central Texas Championships,US,2451.csv
KC Weightliftings Spring Meet,US,3997.csv
Spring Two,US,4034.csv
Force Gym Meet 2,US,2445.csv
Alamo Open I (TX STATE QUALIFIER),US,3983.csv
Thanksgiving Throwdown,US,2323.csv
Spud January 2021 In-House Meet,US,4752.csv
The Dairyland Classic,US,1602.csv
2015 Max's Gym Open,US,396.csv
